problem_solution_key,primary_algorithm_b1,primary_algorithm_b2,primary_match,confidence_b1,confidence_b2,max_tag_diff,max_tag_diff_tag,avg_tag_diff,compared_b1_is_boilerplate,compared_b2_is_boilerplate
1004_B_solution_1,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,20,SIMULATION,0.25,True,False
1004_B_solution_10,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,30,GREEDY,0.38,True,False
1004_B_solution_11,IMPLEMENTATION,MATH,False,HIGH,HIGH,35,MATH,0.92,True,False
1004_B_solution_12,IMPLEMENTATION,MATH,False,HIGH,HIGH,40,SIMULATION,0.54,True,False
1004_B_solution_13,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,30,STRING,0.46,True,False
1004_B_solution_14,GREEDY,IMPLEMENTATION,False,HIGH,HIGH,50,GREEDY,0.46,True,False
1004_B_solution_15,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,60,GREEDY,0.75,True,False
1004_B_solution_16,MATH,IMPLEMENTATION,False,HIGH,HIGH,45,GREEDY,1.04,True,False
1004_B_solution_17,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,STRING,0.5,True,False
1004_B_solution_18,GREEDY,IMPLEMENTATION,False,HIGH,HIGH,55,GREEDY,0.58,True,False
1004_B_solution_19,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,STRING,0.5,True,False
1004_B_solution_2,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,45,GREEDY,0.67,True,False
1004_B_solution_20,MATH,IMPLEMENTATION,False,HIGH,HIGH,20,SIMULATION,0.46,True,False
1004_B_solution_3,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,20,GREEDY,0.21,True,False
1004_B_solution_4,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,30,SIMULATION,0.58,True,False
1004_B_solution_5,MATH,IMPLEMENTATION,False,HIGH,HIGH,35,IMPLEMENTATION,0.96,True,False
1004_B_solution_6,MATH,IMPLEMENTATION,False,HIGH,HIGH,20,GREEDY,0.54,True,False
1004_B_solution_7,IMPLEMENTATION,GREEDY,False,HIGH,HIGH,40,STRING,0.88,True,False
1004_B_solution_8,IMPLEMENTATION,GREEDY,False,HIGH,HIGH,20,SIMULATION,0.71,True,False
1004_B_solution_9,MATH,IMPLEMENTATION,False,HIGH,HIGH,25,MATH,0.62,True,False
1037_C_solution_1,GREEDY,GREEDY,True,HIGH,HIGH,10,SIMULATION,0.17,True,False
1037_C_solution_10,GREEDY,GREEDY,True,HIGH,HIGH,30,DP,0.58,True,False
1037_C_solution_11,GREEDY,GREEDY,True,HIGH,HIGH,20,DP,0.54,True,False
1037_C_solution_12,GREEDY,GREEDY,True,HIGH,HIGH,50,SIMULATION,1.0,True,False
1037_C_solution_13,GREEDY,GREEDY,True,HIGH,HIGH,30,IMPLEMENTATION,0.83,True,False
